0.00 0 1 0 0 1
97.96 0 1 0 0 1
100.00 0 1 0 0 1
100.00 0 1 1 0 0
100.00 0 1 0 0 1
100.00 0 2 1 1 0
97.96 0 2 0 1 1
0.00 0 2 1 1 0
100.00 0 2 0 0 2
0.00 0 2 0 1 1
100.00 0 3 3 0 0
100.00 0 3 1 0 2
100.00 0 3 2 0 1
100.00 0 3 1 1 1
100.00 0 3 2 0 1
100.00 0 5 2 1 2
100.00 0 5 1 0 4
100.00 0 5 2 1 2
100.00 0 5 3 1 1
100.00 0 5 0 0 5
100.00 1 1 1
93.88 1 1 1
100.00 1 1 1
51.02 1 1 1
100.00 1 1 1
100.00 1 2 2
100.00 1 2 2
100.00 1 2 2
100.00 1 2 2
51.02 1 2 2
100.00 1 3 3
91.84 1 3 3
100.00 1 3 3
100.00 1 3 3
100.00 1 3 3
100.00 1 5 5
100.00 1 5 5
100.00 1 5 5
100.00 1 5 5
100.00 1 5 5
100.00 2 1 1
75.51 2 1 1
0.00 2 1 1
51.02 2 1 1
100.00 2 1 1
100.00 2 2 2
100.00 2 2 2
59.18 2 2 2
100.00 2 2 2
91.84 2 2 2
100.00 2 3 3
100.00 2 3 3
100.00 2 3 3
100.00 2 3 3
100.00 2 3 3
100.00 2 5 5
100.00 2 5 5
100.00 2 5 5
100.00 2 5 5
100.00 2 5 5
100.00 3 1 1
100.00 3 1 1
100.00 3 1 1
100.00 3 1 1
100.00 3 1 1
100.00 3 2 2
100.00 3 2 2
100.00 3 2 2
100.00 3 2 2
100.00 3 2 2
100.00 3 3 3
100.00 3 3 3
100.00 3 3 3
100.00 3 3 3
100.00 3 3 3
100.00 3 5 5
100.00 3 5 5
100.00 3 5 5
100.00 3 5 5
100.00 3 5 5
100.00 4 1 1
0.00 4 1 1
0.00 4 1 1
100.00 4 1 1
100.00 4 1 1
97.96 4 2 2
100.00 4 2 2
0.00 4 2 2
100.00 4 2 2
100.00 4 2 2
100.00 4 3 3
100.00 4 3 3
100.00 4 3 3
100.00 4 3 3
0.00 4 3 3
100.00 4 5 5
100.00 4 5 5
100.00 4 5 5
100.00 4 5 5
100.00 4 5 5
100.00 5 1 1
100.00 5 1 1
100.00 5 1 1
100.00 5 1 1
100.00 5 1 1
100.00 5 2 2
100.00 5 2 2
100.00 5 2 2
100.00 5 2 2
100.00 5 2 2
100.00 5 3 3
100.00 5 3 3
100.00 5 3 3
100.00 5 3 3
100.00 5 3 3
100.00 5 5 5
100.00 5 5 5
100.00 5 5 5
100.00 5 5 5
100.00 5 5 5
100.00 6 1 1
0.00 6 1 1
100.00 6 1 1
100.00 6 1 1
100.00 6 1 1
100.00 6 2 2
100.00 6 2 2
100.00 6 2 2
100.00 6 2 2
100.00 6 2 2
100.00 6 3 3
100.00 6 3 3
100.00 6 3 3
100.00 6 3 3
100.00 6 3 3
100.00 6 5 5
100.00 6 5 5
100.00 6 5 5
100.00 6 5 5
100.00 6 5 5
