100.00 0 1 0 0 0 0 0 1 0 0 0
100.00 0 2 0 0 0 0 0 0 0 0 0
100.00 0 2 0 0 0 0 0 0 0 0 0
100.00 1 1 0 0 0 0 0 0 0 0 0
100.00 0 0 1 0 0 0 0 0 0 0 1
100.00 0 0 0 0 1 1 0 0 0 0 0
100.00 0 2 0 0 0 0 0 0 0 0 0
100.00 1 1 0 0 0 0 0 0 0 0 0
51.02 0 0 0 0 1 1 0 0 0 0 0
100.00 0 0 0 0 0 1 0 0 1 0 0
100.00 1 1 0 0 0 0 0 0 0 0 0
100.00 0 1 0 0 0 0 0 1 0 0 0
100.00 1 0 0 0 0 0 1 0 0 0 0
100.00 1 1 0 0 0 0 0 0 0 0 0
100.00 0 1 0 0 1 0 0 0 0 0 0
100.00 0 2 0 0 0 0 0 0 0 0 0
100.00 0 1 0 0 1 0 0 0 0 0 0
100.00 0 1 0 0 0 1 0 0 0 0 0
75.51 1 0 0 0 0 0 1 0 0 0 0
100.00 0 1 0 0 1 0 0 0 0 0 0
97.96 1 0 0 0 1 0 0 0 0 0 0
100.00 1 0 0 0 0 0 1 0 0 0 0
89.80 0 2 0 0 0 0 0 0 0 0 0
100.00 0 2 0 0 0 0 0 0 0 0 0
100.00 1 0 0 0 1 0 0 0 0 0 0
100.00 0 2 0 0 0 0 0 0 0 0 0
79.59 0 2 0 0 0 0 0 0 0 0 0
100.00 0 2 0 0 0 0 0 0 0 0 0
0.00 0 0 1 0 0 0 1 0 0 0 0
100.00 0 2 0 0 0 0 0 0 0 0 0
100.00 1 1 0 0 0 0 0 0 0 0 0
100.00 0 2 0 0 0 0 0 0 0 0 0
100.00 1 1 0 0 0 0 0 0 0 0 0
100.00 1 0 0 0 1 0 0 0 0 0 0
100.00 0 2 0 0 0 0 0 0 0 0 0
